team_id,team_name,team_tag,team_captain_id,team_captain,team_coach_id,team_coach_name
8970463,Pizzadog Academy,PizzadogA,104775701,Sparkling Animated Storytelling,null,null
,,,,,,
9352752,Malibu DILFs,MDILFS,45349321,Skwisgaar Skwigelf,null,null
,,,,,,
6521153,Korn in my Poop,KIMP,315105501,Chinese Takeout,null,null
,,,,,,
9073373,Fear The Hog,FTHOG,32846586,Dr Clayton,null,null
,,,,,,
9358342,CORN DAWGS,CDAWGS,52899534,Roctopus,null,null
,,,,,,
9359693,Foop City,FOOP,108977424,Sneetch,null,null