match_id,team_id,team_name,player_id,player_name,hero,kills,deaths,assists,net_worth,last_hits,denies,gpm,xpm
7673825026,9397114,Anti-Mage Enjoyers,32846586,Dr Clayton,Bloodseeker,12,1,8,19913,218,17,583,701
7673825026,9397114,Anti-Mage Enjoyers,12096575,Bojangles,Centaur Warrunner,14,4,30,20423,168,8,612,780
7673825026,9397114,Anti-Mage Enjoyers,208895278,businessCasual,Timbersaw,12,5,15,19695,189,15,592,708
7673825026,9397114,Anti-Mage Enjoyers,144699082,Crasheroni,Disruptor,8,5,38,13889,26,1,446,692
7673825026,9397114,Anti-Mage Enjoyers,121916760,Kiragos,Lion,4,5,16,10911,20,1,320,535
7673825026,9400971,Mutha Shuckas,50743887,H[U](NGry?),Phantom Assassin,3,14,7,11990,174,3,388,459
7673825026,9400971,Mutha Shuckas,71794697,Z.T. Pastamancer,Primal Beast,6,9,7,11031,113,22,391,414
7673825026,9400971,Mutha Shuckas,176598507,Stainless,Windranger,6,8,2,11696,186,8,408,454
7673825026,9400971,Mutha Shuckas,192347173,Ms Anthrope,Vengeful Spirit,2,14,9,8288,10,4,237,329
7673825026,9400971,Mutha Shuckas,52899534,Roctopus,Rubick,3,6,18,7102,44,3,277,386
,,,,,,,,,,,,,
7673878717,9397114,Anti-Mage Enjoyers,32846586,Dr Clayton,Drow Ranger,6,1,9,19484,248,11,533,586
7673878717,9397114,Anti-Mage Enjoyers,12096575,Bojangles,Slardar,9,4,12,16715,176,12,494,544
7673878717,9397114,Anti-Mage Enjoyers,208895278,businessCasual,Dragon Knight,2,1,8,20539,276,35,562,587
7673878717,9397114,Anti-Mage Enjoyers,144699082,Crasheroni,Hoodwink,8,2,16,14509,129,4,443,534
7673878717,9397114,Anti-Mage Enjoyers,121916760,Kiragos,Crystal Maiden,4,6,13,11653,32,1,288,517
7673878717,9400971,Mutha Shuckas,50743887,H[U](NGry?),Faceless Void,0,7,2,11717,199,10,336,369
7673878717,9400971,Mutha Shuckas,71794697,Z.T. Pastamancer,Pudge,8,6,4,10635,124,14,348,366
7673878717,9400971,Mutha Shuckas,176598507,Stainless,Keeper Of The Light,2,1,5,12934,153,0,318,345
7673878717,9400971,Mutha Shuckas,192347173,Ms Anthrope,Lion,2,12,4,5644,18,2,180,207
7673878717,9400971,Mutha Shuckas,52899534,Roctopus,Jakiro,2,3,10,7177,46,0,263,288